Country,Energy Source (billion kWh),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chad,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.0003,0,0,0,0
Chad,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0.009,0.009,0.009,0.009
Chad,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo-Brazzaville,            Hydroelectricity ,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.783,0.977,0.961,0.942,1.087,1.116,1.191,1.094348,0.84689,0.90045,0.9
Congo-Brazzaville,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.00122
Congo-Brazzaville,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.00122
Congo-Brazzaville,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo-Kinshasa,            Hydroelectricity ,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.51,8.147,8.732,8.827,9.008,9.387,10.43262,11.041425,11.913623,11
Congo-Kinshasa,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.001,0.001,0.005,0.007,0.007,0.007,0.007,0.007
Congo-Kinshasa,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.001,0.001,0.005,0.007,0.007,0.007,0.007,0.007
Congo-Kinshasa,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.027,0.027,0.027,0.027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,            Hydroelectricity ,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.731,1.423,1.495,1.779,1.879,2.11,1.602,1.756,1.771,1.59,1.894,1.338,1.51371,2.02653,2.93238,3.455,3.354,3.3
Cote d'Ivoire,                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,"                Solar, tide, wave, fuel cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,0.0002,0.0002,0.0005,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.007,0.007,0.011,0.011,0.011
Cote d'Ivoire,                    Tide and wave ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,                    Solar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,0.0002,0.0002,0.0005,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.007,0.007,0.011,0.011,0.011
Cote d'Ivoire,                Wind ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,                Biomass and waste ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
